skeleton_id,acs,ad,mc,mr,sh,syl,annotations_per_neuron
annotations_per_user,153,94,49,107,59,33,
608126,correct,uncertain,uncertain,uncertain,uncertain,uncertain,6.0
608131,correct,correct,correct,correct,uncertain,correct,6.0
608135,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,6.0
608139,incorrect,incorrect,incorrect,uncertain,uncertain,uncertain,6.0
608143,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,6.0
608147,uncertain,incorrect,incorrect,uncertain,uncertain,uncertain,6.0
608151,incorrect,incorrect,incorrect,incorrect,incorrect,uncertain,6.0
608155,uncertain,correct,correct,incorrect,correct,correct,6.0
608159,incorrect,correct,correct,uncertain,uncertain,correct,6.0
608163,uncertain,correct,correct,correct,incorrect,correct,6.0
608171,incorrect,incorrect,incorrect,incorrect,incorrect,uncertain,6.0
608176,incorrect,incorrect,incorrect,incorrect,incorrect,uncertain,6.0
608180,incorrect,uncertain,incorrect,uncertain,incorrect,uncertain,6.0
608184,incorrect,incorrect,,incorrect,uncertain,uncertain,5.0
608188,incorrect,correct,incorrect,uncertain,uncertain,uncertain,6.0
608192,correct,correct,,correct,correct,correct,5.0
608196,correct,uncertain,correct,incorrect,correct,correct,6.0
608200,incorrect,incorrect,incorrect,uncertain,uncertain,uncertain,6.0
608257,correct,incorrect,correct,,correct,correct,5.0
608261,correct,incorrect,correct,,correct,correct,5.0
608265,uncertain,incorrect,incorrect,,correct,uncertain,5.0
608269,correct,incorrect,correct,,uncertain,,4.0
608273,correct,incorrect,correct,,correct,,4.0
608277,correct,incorrect,correct,,correct,,4.0
608281,uncertain,uncertain,incorrect,,correct,,4.0
608285,uncertain,uncertain,correct,uncertain,uncertain,,5.0
608289,incorrect,correct,correct,uncertain,correct,,5.0
608293,incorrect,incorrect,correct,uncertain,correct,,5.0
608297,uncertain,incorrect,incorrect,correct,correct,,5.0
608301,incorrect,incorrect,incorrect,uncertain,correct,,5.0
608305,incorrect,uncertain,incorrect,correct,correct,,5.0
608309,incorrect,incorrect,incorrect,incorrect,incorrect,,5.0
608313,incorrect,incorrect,incorrect,,uncertain,,4.0
608317,correct,correct,correct,,correct,,4.0
608321,incorrect,uncertain,incorrect,,uncertain,,4.0
608325,correct,correct,correct,,uncertain,,4.0
608329,correct,incorrect,correct,incorrect,correct,,5.0
608333,uncertain,incorrect,incorrect,uncertain,uncertain,,5.0
608337,correct,uncertain,,,correct,,3.0
608341,correct,correct,,uncertain,uncertain,,4.0
608345,correct,correct,,,correct,,3.0
608349,correct,incorrect,,incorrect,incorrect,,4.0
608353,correct,correct,,,correct,,3.0
608357,correct,uncertain,,,correct,,3.0
608361,correct,correct,,,correct,,3.0
608365,incorrect,correct,,,uncertain,,3.0
608369,correct,incorrect,,,incorrect,,3.0
608373,incorrect,uncertain,,,,,2.0
608377,uncertain,uncertain,,,,,2.0
608381,correct,correct,,,,,2.0
608385,correct,correct,,,,,2.0
608389,incorrect,incorrect,,,,,2.0
608393,incorrect,incorrect,,,,,2.0
608397,incorrect,incorrect,,,,,2.0
608401,correct,correct,,,,,2.0
608405,correct,correct,,,,,2.0
608409,correct,correct,,,,,2.0
608413,incorrect,uncertain,,,,,2.0
608417,correct,uncertain,,,,,2.0
608421,uncertain,incorrect,,,,,2.0
608425,correct,incorrect,,,,,2.0
608429,incorrect,incorrect,,,,,2.0
608433,uncertain,incorrect,,,,,2.0
608437,correct,incorrect,,,,,2.0
608441,correct,uncertain,,,,,2.0
608445,correct,uncertain,,uncertain,,,3.0
608449,uncertain,uncertain,,,,,2.0
608453,correct,correct,correct,,,,3.0
608457,incorrect,incorrect,,uncertain,,,3.0
